epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,600.429,1.57135,1.50164,1.58351,0.48966,0.37805,0.40343,0.13978,2.51032,2.27134,2.47722,0.0011684,0.0011684,0.0011684
44,614.211,1.58547,1.49461,1.60329,0.40097,0.42683,0.36671,0.12218,2.64469,2.498,2.58418,0.0011486,0.0011486,0.0011486
45,627.973,1.59119,1.46123,1.59777,0.42474,0.37805,0.31483,0.11652,2.59211,2.36009,2.57987,0.0011288,0.0011288,0.0011288
46,641.807,1.57371,1.45738,1.59697,0.40598,0.37805,0.33092,0.13702,2.3873,2.32788,2.39617,0.001109,0.001109,0.001109
47,655.583,1.58327,1.47105,1.57686,0.36585,0.40244,0.30446,0.10869,2.55891,2.76471,2.52081,0.0010892,0.0010892,0.0010892
48,669.19,1.52622,1.38408,1.56657,0.50172,0.45122,0.32941,0.10169,2.45523,2.36906,2.42394,0.0010694,0.0010694,0.0010694
49,683.056,1.54024,1.43038,1.56593,0.32864,0.41463,0.26289,0.0971,2.49752,2.64075,2.49749,0.0010496,0.0010496,0.0010496
50,696.747,1.53032,1.38659,1.54579,0.57333,0.34146,0.3507,0.12089,2.52831,2.34565,2.50279,0.0010298,0.0010298,0.0010298
51,710.557,1.50412,1.32031,1.54962,0.45442,0.31707,0.31834,0.11224,2.51478,2.3995,2.4332,0.00101,0.00101,0.00101
52,724.261,1.47482,1.28531,1.51356,0.62085,0.31707,0.33947,0.10182,2.5433,2.58116,2.51702,0.0009902,0.0009902,0.0009902
53,738.617,1.50609,1.31375,1.53502,0.62907,0.28049,0.34349,0.09299,2.60174,2.62716,2.59099,0.0009704,0.0009704,0.0009704
54,753.956,1.46558,1.30263,1.51098,0.40963,0.37805,0.3357,0.10856,2.49252,2.46109,2.46971,0.0009506,0.0009506,0.0009506
55,768.014,1.48956,1.30292,1.54234,0.33988,0.46466,0.35674,0.11231,2.59342,2.4767,2.59148,0.0009308,0.0009308,0.0009308
56,781.596,1.47527,1.27431,1.50521,0.41857,0.45122,0.42203,0.1148,2.50864,2.39445,2.47053,0.000911,0.000911,0.000911
57,795.154,1.46586,1.24268,1.5011,0.46987,0.32432,0.34675,0.11241,2.59547,2.43812,2.56608,0.0008912,0.0008912,0.0008912
58,808.868,1.42128,1.19284,1.46353,0.30035,0.40244,0.27782,0.09372,2.49588,2.63915,2.43651,0.0008714,0.0008714,0.0008714
59,822.287,1.4359,1.20364,1.4738,0.53455,0.36418,0.37049,0.12593,2.59059,2.42954,2.59231,0.0008516,0.0008516,0.0008516
60,835.797,1.40992,1.23186,1.45288,0.39183,0.35366,0.29795,0.09326,2.65522,2.61302,2.69511,0.0008318,0.0008318,0.0008318
61,849.414,1.40018,1.17763,1.4513,0.50082,0.36585,0.34513,0.10036,2.65843,2.45462,2.69576,0.000812,0.000812,0.000812
62,862.929,1.37634,1.13589,1.44868,0.45517,0.40244,0.41451,0.13475,2.49508,2.44258,2.58505,0.0007922,0.0007922,0.0007922
63,876.534,1.38131,1.16839,1.45145,0.51579,0.36376,0.35482,0.11771,2.59747,2.5236,2.6242,0.0007724,0.0007724,0.0007724
